experiment,description,seq_len,pred_len,subset,mae,rmse,mse
A3,A2 + blast V2,96,12,blast_hours,8.257321937321649e-09,9.03277171221396e-09,8.159096480497271e-17
A3,A2 + blast V2,96,12,non_event_hours,,,
A3,A2 + blast V2,96,12,rain_hours,1.1158255119880778e-07,2.3884199922382193e-07,5.704550059323216e-14
A4,A2 + blast V3,24,1,blast_hours,,,
A4,A2 + blast V3,24,1,non_event_hours,2.0384725019084726e-08,2.0912073680684563e-08,4.3731482562637993e-16
A4,A2 + blast V3,24,1,rain_hours,,,
A4,A2 + blast V3,24,3,blast_hours,,,
A4,A2 + blast V3,24,3,non_event_hours,6.506061911437655e-09,8.414228167892816e-09,7.079923566136089e-17
A4,A2 + blast V3,24,3,rain_hours,,,
A4,A2 + blast V3,24,6,blast_hours,,,
A4,A2 + blast V3,24,6,non_event_hours,1.626489876116466e-08,2.215501255936346e-08,4.908445815055527e-16
A4,A2 + blast V3,24,6,rain_hours,,,
A4,A2 + blast V3,24,12,blast_hours,,,
A4,A2 + blast V3,24,12,non_event_hours,3.288236882781348e-08,3.786720395999499e-08,1.43392513574786e-15
A4,A2 + blast V3,24,12,rain_hours,,,
A4,A2 + blast V3,48,1,blast_hours,,,
A4,A2 + blast V3,48,1,non_event_hours,2.205017040068924e-07,2.2457926219442187e-07,5.0435845007790886e-14
A4,A2 + blast V3,48,1,rain_hours,,,
A4,A2 + blast V3,48,3,blast_hours,,,
A4,A2 + blast V3,48,3,non_event_hours,8.117055472212087e-08,1.0206471013848939e-07,1.0417205055653859e-14
A4,A2 + blast V3,48,3,rain_hours,,,
A4,A2 + blast V3,48,6,blast_hours,,,
A4,A2 + blast V3,48,6,non_event_hours,6.750948244871324e-08,8.378583363717017e-08,7.020065918275555e-15
A4,A2 + blast V3,48,6,rain_hours,,,
A4,A2 + blast V3,48,12,blast_hours,1.862645149230957e-08,2.1282602624640217e-08,4.529491744783426e-16
A4,A2 + blast V3,48,12,non_event_hours,4.520074980973732e-08,6.00669746815892e-08,3.608041447398678e-15
A4,A2 + blast V3,48,12,rain_hours,,,
A4,A2 + blast V3,96,1,blast_hours,,,
A4,A2 + blast V3,96,1,non_event_hours,,,
A4,A2 + blast V3,96,1,rain_hours,0.0,0.0,0.0
A4,A2 + blast V3,96,3,blast_hours,,,
A4,A2 + blast V3,96,3,non_event_hours,,,
A4,A2 + blast V3,96,3,rain_hours,0.0,0.0,0.0
A4,A2 + blast V3,96,6,blast_hours,,,
A4,A2 + blast V3,96,6,non_event_hours,,,
A4,A2 + blast V3,96,6,rain_hours,7.839175708568291e-08,1.411233304938661e-07,1.9915794409680956e-14
A4,A2 + blast V3,96,12,blast_hours,5.021241644698193e-09,5.773254015226248e-09,3.3330461924326e-17
A4,A2 + blast V3,96,12,non_event_hours,,,
A4,A2 + blast V3,96,12,rain_hours,6.359049109505577e-08,1.5893181051054427e-07,2.525932039215955e-14
